Time (s),Vr (km/s),Vn (km/s),V (km/s)
15739254.135338347,-0.09891312553624579,6.897590402878535,6.898299585570738
15818345.864661654,0.09891312553625085,6.897590402878535,6.898299585570738
15897437.593984963,0.2957218593397978,6.8824354750852486,6.888785777392362
15976529.323308272,0.4895197490847877,6.852477937693965,6.869940572619719
16055621.05263158,0.6784347655685125,6.808399886439031,6.842118293686175
16134712.781954888,0.860784903935244,6.751170890315792,6.805825375447869
16213804.511278197,1.0351307011105524,6.68199092518965,6.761693448589521
16292896.240601504,1.2003085662862023,6.602224825882073,6.710448070419262
16371987.969924813,1.355444475443914,6.513334735166422,6.652876002026257
16451079.69924812,1.4999497891963764,6.416816269580777,6.589793654407307
16530171.42857143,1.633502516377523,6.314142715050772,6.52201875932908
16609263.157894738,1.756018142297861,6.206719885086975,6.450346614563693
16688354.887218045,1.8676142303577739,6.095852656476915,6.375531548264155
16767446.616541354,1.9685725653215376,5.982722872645708,6.298273645675831
16846538.34586466,2.059301854450211,5.868377381254429,6.219210337057323
16925630.07518797,2.1403031398510803,5.753724454237502,6.138912169574266
17004721.80451128,2.2121392518836305,5.63953666180235,6.057881959029663
17083813.533834588,2.27540893933715,5.526458343082786,5.976556505132763
17162905.263157897,2.330725784808679,5.415016039632895,5.895310118514
17241996.992481206,2.3787016529742853,5.305630553481219,5.8144593148371095
17321088.72180451,2.4199342029143014,5.198629600629713,5.734268154784699
17400180.45112782,2.4549978916623463,5.094260316862368,5.654953830406154
17479272.18045113,2.484437872324723,4.992701116396431,5.576692207671817
17558363.909774438,2.508766218160157,4.894072598789637,5.499623127051995
17637455.639097746,2.528459961624958,4.798447347105087,5.423855337348179
17716547.368421055,2.5439605084312253,4.7058585663964605,5.349470993975443
17795639.09774436,2.555674060344221,4.6163075835797684,5.276529693741181
17874730.82706767,2.563972750179401,4.529770275275527,5.205072046613019
17953822.55639098,2.569196254731653,4.446202516050659,5.135122803698307
18032914.285714287,2.5716537047378782,4.365544751349788,5.066693572057593
18112006.015037596,2.571625755305941,4.287725801778568,4.999785153043129
18191097.7443609,2.5693667161559826,4.21266600169272,4.934389543186462
18270189.47368421,2.5651066695026294,4.140279767736176,4.870491636483158
18349281.20300752,2.55905352557459,4.070477683805237,4.808070665153767
18428372.93233083,2.5513949827196116,4.003168179068605,4.7471014132578055
18507464.661654137,2.542300371780249,3.938258865906611,4.687555234367486
18586556.390977446,2.531922373821401,3.8756575954044785,4.629400901182984
18665648.12030075,2.5203986070778064,3.8152732795960516,4.572605311696972
18744739.84962406,2.5078530837702417,3.7570165221158183,4.517134073417254
18823831.57894737,2.494397540697237,3.700800092298985,4.462951984303282
18902923.308270678,2.4801326496274383,3.6465392720360903,4.4100234264966796
18982015.037593987,2.4651491147956284,3.5941520997740333,4.358312686635479
19061106.766917296,2.4495286654733093,3.543559531877452,4.307784214527812
19140198.4962406,2.4333449518186376,3.494685538036792,4.258402830205798
19219290.22556391,2.4166643521431896,3.4474571444476974,4.210133887861898
19298381.95488722,2.399546699463448,3.401804436011013,4.162943403863441
19377473.684210528,2.382045934806343,3.357660526742478,4.116798154922342
19456565.413533837,2.364210694263607,3.3149615058717172,4.071665751542198
19535657.142857146,2.346084836277458,3.2736463656964876,4.027514691053137
19614748.87218045,2.327707915116836,3.233656916091659,3.9843143938556085
19693840.60150376,2.3091156059876186,3.194937689612852,3.942035225911138
19772932.33082707,2.2903400867238535,3.1574358403464666,3.9006485100247916
19852024.060150377,2.271410380537901,3.1211010390125047,3.860126528048047
19931115.789473686,2.252352663869517,3.085885366298901,3.8204425157797903
20010207.518796995,2.2331905429695618,3.0517432059759684,3.7815706520477925
20089299.2481203,2.213945302483381,3.0186311389896407,3.7434860432043986
20168390.97744361,2.1946361289612772,2.986507839448394,3.7061647040611745
20247482.70676692,2.175280311917582,2.9553339731892745,3.6695835361118236
20326574.436090227,2.1558934247835126,2.925072099423512,3.6337203037452754
20405666.165413536,2.1364894878503975,2.895686575813811,3.5985536090273222
20484757.89473684,2.117081115076699,2.867143467216981,3.5640628655257207
20563849.62406015,2.097679646432238,2.839410458231372,3.530228271566836
20642941.35338346,2.0782952672742434,2.8124567696145553,3.4970307832395844
20722033.082706768,2.0589371160899996,2.78625307857859,3.4644520874016536
20801124.812030077,2.0396133817983295,2.760771442925549,3.4324745748925856
20880216.541353386,2.020331391674906,2.735985228951755,3.4010813141160345
20959308.27067669,2.001097690853071,2.7118690430237447,3.3702560251185685
21038400.0,1.981918114250777,2.688398666710348,3.3399830542632
21117491.72932331,1.9627978516843065,2.6655509953423433,3.3102473495717937
21196583.458646618,1.9437415068491866,2.6433039798624915,3.281034436790512
21275675.187969927,1.9247531507773048,2.621636571823776,3.252330396216086
21354766.917293236,1.9058363703155958,2.6005286713913938,3.2241218403072818
21433858.64661654,1.8869943121148909,2.5799610782039246,3.196395892094893
21512950.37593985,1.8682297225669806,2.5599154449507133,3.169140164394738
21592042.10526316,1.8495449840827602,2.54037423352523,3.142342739820817
21671133.834586468,1.8309421480642047,2.521320673618153,3.1159921515902864
21750225.563909777,1.8124229648868242,2.502738723618159,3.0900773651070614
21829317.293233085,1.7939889111773248,2.4846130336935497,3.064587760307586
21908409.02255639,1.7756412146424085,2.4669289109329715,3.0395131147494174
21987500.7518797,1.7573808766790828,2.449672286428989,3.0148435874213395
22066592.48120301,1.7392086929739,2.4328296841937678,2.9905697032522633
22145684.210526317,1.7211252722780122,2.4163881918016084,2.966682338295138
22224775.939849626,1.7031310535265638,2.4003354326585353,2.943172705561558
22303867.669172935,1.6852263214544694,2.384659539804457,2.9200323414824307
22382959.39849624,1.6674112208458225,2.3693491311585544,2.897253092970021
22462051.12781955,1.6496857695409919,2.3543932861236057,2.874827105056922
22541142.85714286,1.6320498703134687,2.339781523469671,2.852746809087737
22620234.586466167,1.614503321717926,2.3255037804222405,2.831004911439814
22699326.315789476,1.5970458280012563,2.311550392884241,2.8095943827498497
22778418.04511278,1.5796770081597735,2.2979120767255496,2.78850844762388
22857509.77443609,1.5623964042179086,2.2845799100775306,2.767740574808793
22936601.5037594,1.5452034887967956,2.271545316573945,2.7472844678043105
23015693.233082708,1.5280976720347184,2.2588000494830256,2.727134055895024
23094784.962406017,1.5110783079157755,2.2463361766789243,2.707283485582936
23173876.691729326,1.4941447000579124,2.234146066403847,2.6877271124016535
23252968.42105263,1.4772961070068702,2.222222373775186,2.6684594930942227
23332060.15037594,1.4605317470783181,2.2105580279946833,2.6494753781372244
23411151.87969925,1.4438508027867216,2.199146220219371,2.630769704594647
23490243.609022558,1.4272524248960166,2.1879803920564145,2.612337589285677
23569335.338345867,1.4107357361240125,2.1770542246463296,2.5941743222512614
23648427.067669176,1.3942998345297055,2.1663616283012144,2.5762753605050555
23727518.79699248,1.3779437966100467,2.1558967326666627,2.558636322054954
23806610.52631579,1.361666680130403,2.145653877377904,2.541252980182057
23885702.2556391,1.3454675267109295,2.135627603182582,2.5241212579646417
23964793.984962407,1.3293453641889743,2.1258126435041373,2.507237223035101
24043885.714285716,1.3132992087761126,2.116203916421446,2.490597082558604
24122977.443609025,1.2973280670266385,2.1067965170417504,2.474197178422594
24202069.17293233,1.281430937633041,2.0975857102453483,2.4580339826268833
24281160.90225564,1.265606813062596,2.08856692378177,2.4421040928645334
24360252.63157895,1.2498546810480227,2.079735741698373,2.4264042282841776
24439344.360902257,1.2341735259441398,2.0710878980834595,2.4109312254249713
24518436.090225566,1.218562329961345,2.062619271107034,2.395682034315684
24597527.819548875,1.2030200742859287,2.054325877343325,2.380653714729915
24676619.54887218,1.1875457400963911,2.0462038663601727,2.3658434325898248
24755711.27819549,1.1721383094841147,2.0382495155611635,2.3512484565110503
24834803.007518798,1.156796766286162,2.030459225267322,2.3368661544819584
24913894.736842107,1.1415200968372299,2.02282951402584,2.322693990670595
24992986.466165416,1.1263072906473022,2.0153570141341217,2.308729522353121
25072078.195488725,1.1111573410109472,2.0080384673680323,2.29497039695772
25151169.92481203,1.0960692455537793,2.0008707209039276,2.2814143492183603
25230261.65413534,1.0810420067211006,1.9938507234245897,2.2680591984329563
25309353.383458648,1.0660746322134331,1.9869755213998033,2.254902845820863
25388445.112781957,1.051166135373141,1.9802422555327661,2.2419432719747396
25467536.842105266,1.0363155355261202,1.9736481573640796,2.2291785344021724
25546628.57142857,1.0215218582821732,1.9671905460254975,2.2166067651526196
25625720.30075188,1.0067841357974023,1.9608668251360495,2.2042261685254654
25704812.03007519,0.9921014070016744,1.9546744798335645,2.1920350188551545
25783903.759398498,0.9774727177940085,1.9486110739350007,2.180031658369603
25862995.488721807,0.9628971212084733,1.9426742472193614,2.1682144951182476
25942087.218045115,0.9483736775530298,1.9368617128273098,2.156582000966297
26021178.94736842,0.9339014545234687,1.9311712547718831,2.1451327096518433
26100270.67669173,0.9194795272945583,1.9256007255550842,2.1338652149027806
26179362.40601504,0.9051069785902347,1.9201480438853225,2.122778168610506
26258454.135338347,0.8907828987345678,1.914811192490998,2.111870279057584
